"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.3, N.8, P.6, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","10","6","17","22","15","13","19","23","29","5","0","5","31","1","4","2","5","19","10","19","10","14","31","27","3","6","2","4","5","5","5","61","7","2","8","12","40","2","3","1","3","1","6","12","3","4","6","7","3","3","4","1","0","1","2","1","7","0","0","2","0","0","0"
"(V.3, N.9, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","14","36","31","32","251","280","34","34","12","4","5","10","3","4","1","7","3","4","3","12","4","8","23","5","3","2","1","3","1","1","10","2","0","5","10","0","3","0","3","1","0","0","0","1","4","2","0","0","0","0","2","1","0","0","1","1","0","0","0","0","0","0"
"(V.3, N.9, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","6","2","1","1","4","4","3","4","0","0","1","2","1","1","1","0","1","3","0","1","0","1","35","5","4","0","3","4","10","0","6","3","1","3","4","2","0","0","1","5","4","0","0","1","2","1","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"(V.3, N.11, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","5","2","6","4","6","5","5","0","1","0","0","3","1","0","0","3","2","1","1","0","3","3","16","5","5","1","1","11","2","0","2","7","1","2","6","0","0","0","1","0","2","0","1","5","1","1","1","0","1","0","1","0","0","0","1","0","1","2","0","0","0"
"(V.3, N.11, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","11","9","12","39","110","20","37","14","9","1","16","12","6","6","8","13","15","22","62","5","13","6","19","2","1","6","2","1","4","1","0","0","2","1","1","0","1","0","1","0","1","2","0","3","2","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"(V.3, N.11, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","28","101","194","231","281","204","368","254","115","103","217","145","133","135","105","112","108","91","130","148","217","303","183","232","241","2051","830","271","90","69","43","22","59","28","30","12","16","7","6","6","7","7","2","6","9","6","13","12","8","3","8","4","13","22","12","4","3","3","1","0","0"
"(V.3, N.11, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","257","27","17","24","18","16","7","6","8","3","4","4","3","1","2","0","0","1","1","2","1","4","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"(V.3, N.12, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","2","9","46","70","19","24","4","5","0","4","10","1","0","4","0","2","1","4","1","6","6","3","4","2","2","1","0","0","3","1","0","4","2","1","0","0","0","0","0","1","0","0","5","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(V.4, N.1, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","224","1147","5104","3617","4103","1354","133","33","51","71","128","17","16","12","3","3","10","26","10","11","13","31","28","23","14","13","13","21","19","13","23","8","13","9","8","7","1","5","8","7","9","8","5","8","1","5","4","6","10","7","7","3","7","4","3","6","4","1","0","0"
"(V.4, N.1, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","13","5","10","26","5","5","3","2","0","6","4","6","6","10","6","6","10","11","5","5","11","5","5","8","11","13","3","2","5","7","2","25","5","13","2","5","4","3","0","3","3","2","4","0","0","3","1","0","1","0","1","0","2","0","1","0","0"
"(V.4, N.2, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","24","89","54","42","16","8","5","19","45","12","2","12","32","23","51","41","17","45","44","57","70","23","7","21","8","14","26","21","9","12","8","8","12","1","5","5","5","1","12","3","4","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"(V.4, N.2, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","4","0","2","5","0","1","3","0","0","1","1","3","2","1","1","1","14","3","5","3","1","0","1","0","1","3","0","2","2","2","0","0","0","0","1","0","1","2","1","0","1","2","0","0","4","0","1","2","0","1","1","2","0","0","0"
"(V.4, N.3, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","117","216","270","344","238","276","362","285","241","284","306","346","284","302","367","384","374","433","501","534","455","559","623","226","495","567","423","467","442","416","485","415","353","394","265","352","280","302","266","266","330","228","175","135","171","190","131","132","86","80","71","84","89","28","41","0","0"
"(V.4, N.3, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","17","3","2","5","2","2","0","1","4","2","5","2","11","21","13","12","30","12","11","19","24","22","29","37","23","16","31","37","32","35","8","40","26","29","40","22","29","19","24","16","12","14","12","10","15","11","7","10","6","6","5","1","0","0"
"(V.4, N.3, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","18","5","32","6","1","13","12","5","8","3","11","8","19","42","18","14","23","20","24","10","12","10","18","17","9","21","10","9","24","16","11","13","1","1","9","6","1","3","5","5","1","2","2","2","2","2","0","0","1","2","2","2","1","0","0","0"
"(V.4, N.4, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","31","52","140","16","24","41","44","13","12","19","25","24","26","62","46","95","112","189","277","143","147","209","36","218","286","247","150","223","256","163","128","76","70","141","142","161","147","108","74","197","208","150","128","92","77","110","170","62","59","72","42","58","54","42","0","0"
"(V.4, N.4, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","124","129","30","47","92","113","67","55","85","99","116","156","200","176","250","237","229","232","141","173","218","83","329","342","324","254","423","443","337","308","204","156","150","333","222","279","131","214","442","453","346","236","164","159","175","214","125","142","107","95","154","157","73","0","0"
"(V.4, N.5, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","371","125","46","1","56","72","42","30","72","406","87","53","46","26","59","62","61","58","43","36","135","198","136","135","88","42","62","75","53","48","12","5","36","198","54","35","37","12","30","37","31","13","6","6","117","155","35","17","7","46","0","6","4","0","0"
"(V.4, N.5, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","277","471","313","492","443","658","275","78","128","390","346","368","523","207","483","555","526","429","186","62","193","516","337","354","302","129","169","222","287","195","112","39","121","275","218","95","37","31","57","47","67","47","16","16","24","45","23","18","5","10","11","12","2","0","0"
"(V.4, N.5, P.5, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","30","7","0","1","1","3","2","0","1","1","17","28","3","2","1","2","7","0","1","1","0","0","5","45","1","3","0","3","0","1","1","1","2","3","5","12","0","0","0","0","1","0","0","0","0","0","4","0","3","0","2","0","0","0"
"(V.4, N.6, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93","14","1","2","12","10","3","7","3","3","6","11","7","8","3","8","1","5","2","2","1","1","4","6","5","6","6","2","8","7","5","6","6","10","3","9","14","12","10","7","7","4","5","6","11","8","2","2","1","1","3","9","1","0","0"
"(V.4, N.7, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","22","2","11","2","7","10","3","9","6","12","19","24","17","12","39","31","51","32","421","25","27","62","28","23","26","73","205","510","385","349","281","608","500","233","156","91","75","189","187","89","58","36","27","19","21","22","13","26","13","11","6","0","0"
"(V.4, N.8, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","1","2","0","0","1","2","0","0","1","2","0","2","1","1","0","1","0","1","1","2","1","10","1","2","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.4, N.9, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","4","4","9","5","5","2","15","7","2","8","11","2","8","6","4","8","2","0","0","0","0","0","6","26","4","7","4","6","2","2","2","5","5","4","5","6","4","11","3","6","5","3","5","1","6","1","1","0","0"
"(V.4, N.9, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","39","28","13","16","38","4","3","3","4","7","4","7","5","2","3","0","3","7","6","5","8","8","2","2","4","9","2","2","0","2","0","3","2","1","1","1","1","0","0","1","2","0","1","0","0","0","0","0","0","0"
"(V.4, N.10, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","10","6","6","8","13","2","22","19","17","20","14","13","6","12","9","1","11","14","12","2","11","9","28","21","12","7","3","6","8","4","16","7","10","12","8","5","6","4","0","10","7","5","3","3","5","4","2","0","0"
"(V.4, N.10, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","54","64","30","30","34","32","54","37","58","63","47","81","130","149","91","23","29","24","29","20","19","24","14","7","19","19","18","17","8","6","13","12","10","11","8","6","13","3","4","2","3","3","1","6","3","3","0","0","0"
"(V.4, N.11, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","6","27","11","22","12","13","9","22","16","91","36","14","44","42","37","66","52","47","32","91","61","40","31","19","30","118","70","109","74","39","52","74","70","36","61","17","29","12","22","17","15","19","13","12","7","7","0","0"
"(V.4, N.12, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","11","8","18","16","7","9","9","36","59","27","31","36","41","50","51","20","39","27","73","110","137","20","5","6","28","47","27","18","11","44","19","31","24","17","10","8","14","11","6","19","5","6","12","2","0","0"
"(V.4, N.12, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","9","2","4","2","0","10","4","14","3","3","2","2","6","0","2","4","0","0","3","1","6","14","0","2","5","3","2","4","1","3","1","0","3","0","0","0","2","0","0","0","0","0","1","0","0","0","0"
"(V.4, N.12, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","14","5","10","2","2","1","3","3","6","1","0","0","0","2","3","2","0","1","2","0","0","1","0","0","1","0","1","0","1","4","0","0","1","0","1","0","1","0","3","1","0","1","12","0","0","0","0"
"(V.5, N.1, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","14","20","48","48","56","60","101","69","67","45","53","61","18","30","85","69","71","61","79","70","67","47","33","63","42","41","50","72","36","59","49","37","31","22","24","30","15","21","17","16","11","16","17","5","0","0"
"(V.5, N.1, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","3","6","0","2","1","0","1","0","1","1","2","0","0","1","3","4","3","0","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"(V.5, N.1, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","20","56","49","130","117","135","113","142","144","107","108","221","107","93","172","102","71","114","57","68","50","37","97","47","56","38","33","58","52","48","46","26","39","24","17","41","30","9","17","23","12","23","17","5","0","0"
"(V.5, N.3, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","18","18","24","27","35","29","23","22","20","31","4","24","39","33","19","36","42","56","61","42","55","42","36","73","38","29","51","41","45","37","34","28","15","18","19","14","12","12","11","9","2","1","0","0"
"(V.5, N.3, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","7","0","1","2","2","0","2","1","11","8","0","1","3","2","7","5","4","7","3","0","0","0","0","0","0","0","2","0","0","0","2","0","2","0","0","0","1","0","0","0","0","0","0","0"
"(V.5, N.3, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","6","1","1","2","2","3","6","3","3","3","1","0","12","2","2","0","0","1","1","3","0","4","0","2","0","5","0","6","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(V.5, N.4, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","2","6","3","18","2","2","4","4","9","10","6","4","1","0","0","1","1","3","0","5","1","0","3","4","0","2","0","2","1","0","1","2","0","2","0","0","0","0","0","0","0"
"(V.5, N.5, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","6","10","11","17","16","22","23","19","11","1","7","14","26","26","22","17","20","18","14","21","59","14","14","16","11","24","8","9","18","3","3","2","4","5","5","2","2","5","9","0","0","0"
"(V.5, N.5, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","10","8","14","16","9","0","16","10","6","19","42","20","11","14","28","21","11","5","2","12","8","11","7","10","5","5","7","6","0","6","0","2","1","3","2","0","1","3","3","1","0","0"
"(V.5, N.6, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","9","13","6","4","0","0","1","1","1","3","5","0","7","25","5","9","1","7","2","4","9","9","9","6","10","4","2","6","2","0","0","2","0","0","1","0","8","0","1","0","0"
"(V.5, N.6, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","2","1","6","0","4","0","9","3","1","0","3","1","0","2","1","0","1","2","0","1","2","1","0","0","0","4","0","1","0","0","0","0","0","2","0","1","1","0","0","0"
"(V.5, N.6, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","10","8","17","14","0","4","5","0","17","14","27","10","13","4","8","11","3","3","13","5","3","5","14","10","11","21","17","15","0","5","4","2","3","8","0","3","3","1","2","0","0"
"(V.5, N.7, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","8","3","0","0","0","1","1","4","3","3","9","11","4","5","5","2","0","4","16","4","0","10","5","3","2","0","3","2","1","0","0","1","0","1","0","0","0","0","0"
"(V.5, N.7, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","90","95","135","0","50","96","62","157","96","95","68","134","104","109","122","42","69","90","140","152","113","91","81","93","73","53","30","22","35","60","59","30","32","25","16","23","6","8","0","0"
"(V.5, N.7, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","6","6","8","0","26","18","0","3","5","6","0","4","2","6","1","0","0","4","7","3","2","1","3","2","3","3","1","0","0","0","0","16","2","0","0","0","0","1","0","0"
"(V.5, N.8, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","128","139","0","22","62","27","49","45","39","35","96","56","51","33","19","10","33","20","20","23","9","19","35","20","22","9","9","8","8","3","3","2","3","2","8","6","0","0","0"
"(V.5, N.8, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","4","0","0","0","1","1","29","3","2","1","4","2","1","0","1","1","1","1","2","3","3","2","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0"
"(V.5, N.9, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","11","0","1","11","3","1","1","2","6","14","2","1","2","13","13","1","9","6","3","7","5","3","4","5","5","6","11","0","0","1","2","0","3","3","2","0","0","0"
"(V.5, N.9, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","172","0","50","81","49","77","77","76","34","60","79","81","125","66","38","21","132","71","131","126","43","137","103","47","65","16","16","25","26","27","37","42","14","16","11","7","0","0"
"(V.5, N.10, P.5, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107","0","5","14","3","3","0","3","5","3","7","6","2","1","1","2","2","3","5","3","7","2","0","6","2","2","2","3","2","0","0","1","0","1","1","0","0","0"
"(V.5, N.11, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","9","9","3","18","37","24","28","25","27","26","14","8","13","16","13","25","32","8","15","15","15","8","10","3","5","4","8","6","3","4","8","1","5","0","0"
"(V.5, N.11, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","35","23","56","52","48","39","24","30","60","19","11","11","26","43","16","11","13","21","11","21","16","9","2","3","6","12","5","5","8","3","6","9","1","0","0"
"(V.5, N.11, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","6","0","14","0","1","0","2","2","1","2","2","1","1","0","1","0","6","2","1","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0"
"(V.5, N.12, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","11","1","3","2","1","1","2","4","5","3","1","3","0","0","0","0","0","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(V.5, N.12, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","4","4","1","1","2","1","1","2","5","7","2","8","2","2","4","2","5","3","4","4","3","3","2","3","4","2","0","1","0","0","0","0","0","0","0"
"(V.5, N.12, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","21","7","11","16","3","5","8","11","8","8","2","35","14","11","8","6","7","8","16","9","6","1","0","8","4","4","2","1","2","6","3","2","2","0","0"
"(V.6, N.1, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","15","34","45","9","13","7","31","28","21","12","14","39","25","4","10","6","3","7","6","3","4","7","2","7","3","1","1","3","0","1","3","0","0","0"
"(V.6, N.1, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","7","12","4","16","8","4","2","8","7","6","4","6","10","6","15","5","3","3","2","4","2","2","1","2","2","0","1","0","0","0","0","0","0","0"
"(V.6, N.2, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","5","0","0","0","9","13","28","6","10","29","46","26","43","27","173","38","33","38","34","11","14","30","17","18","25","24","13","21","16","11","0","0"
"(V.6, N.2, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","8","3","2","20","10","4","8","2","0","2","2","7","3","5","1","2","2","1","0","2","1","1","1","2","0","0","0","0","0","0","1","0","0"
"(V.6, N.2, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","6","5","4","6","3","48","40","11","4","12","7","9","7","16","6","1","74","11","22","14","1","4","59","1","5","4","2","6","4","7","0","0","0"
"(V.6, N.3, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","35","28","19","29","28","20","35","12","10","59","52","19","9","3","10","6","5","5","5","0","2","10","12","8","6","9","4","3","19","8","0","0"
"(V.6, N.4, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","9","3","4","6","8","12","3","4","2","2","5","5","5","6","3","4","7","3","6","2","2","6","7","3","1","0","0","1","0","1","0","0"
"(V.6, N.4, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","9","5","2","3","8","1","2","4","2","2","3","1","3","1","2","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0"
"(V.6, N.5, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","20","3","1","1","1","1","0","6","2","0","0","0","0","1","1","1","0","0","0","0","3","0","0","5","1","1","1","0","0","0"
"(V.6, N.5, P.5, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","5","5","4","6","4","6","6","8","9","10","10","5","16","6","10","5","6","8","12","11","8","4","3","3","0","5","3","3","0","0"
"(V.6, N.6, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","20","20","19","21","55","54","45","61","81","61","74","45","80","71","44","24","12","11","7","11","2","17","16","2","6","6","3","0","0"
"(V.6, N.6, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","16","29","22","17","13","12","21","15","13","20","21","19","21","25","17","14","10","15","28","18","12","4","10","12","7","7","0","0"
"(V.6, N.6, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8","2","10","2","0","4","1","0","1","0","2","1","2","1","1","2","0","0","0","0","1","0","0","0","1","0","0","0","0"
"(V.6, N.7, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","147","505","58","35","48","27","42","55","30","25","22","16","20","8","14","9","4","3","23","15","4","2","3","7","4","1","0","0","0"
"(V.6, N.8, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","15","8","4","5","11","5","11","14","11","16","18","8","9","15","5","3","7","6","8","6","5","2","3","11","1","0","0"
"(V.6, N.8, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","20","4","1","4","5","16","27","23","18","14","37","24","15","4","3","5","7","16","19","9","3","6","5","4","1","0","0"
"(V.6, N.9, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","2","1","4","1","3","0","1","6","1","17","1","0","0","0","1","1","1","0","3","5","0","1","0","0","0"
