post,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,total
"(V.1, N.5, P.2, 2018)",98,44,40,72,81,83,105,111,101,84,84,76,86,83,93,70,73,94,14,42,16,54,53,59,133,144,78,111,67,41,57,119,76,54,43,35,95,84,57,55,70,69,71,71,66,66,46,48,8,20,31,34,16,33,33,25,3672
"(V.1, N.5, P.3, 2018)",84,18,23,14,18,32,60,76,138,55,47,109,37,36,47,14,15,20,16,25,10,27,9,7,24,14,4,17,23,2,1,35,39,18,11,4,10,10,30,21,13,17,12,32,176,24,14,8,7,8,12,28,15,7,18,21,1612
"(V.1, N.5, P.4, 2018)",136,54,26,29,46,39,27,51,36,24,23,28,10,27,29,12,8,15,8,19,3,11,12,13,20,36,8,15,2,4,6,5,7,7,8,3,11,7,6,4,2,6,3,3,4,4,6,4,4,7,6,4,4,4,10,11,917
"(V.1, N.5, P.5, 2018)",204,30,16,17,14,16,16,19,22,28,21,32,33,19,15,12,9,12,5,10,2,9,14,7,13,13,5,2,5,2,0,0,1,4,0,1,4,0,1,6,2,4,6,6,8,25,5,35,6,11,9,12,8,10,8,18,812
"(V.1, N.5, P.6, 2018)",88,10,10,6,4,12,15,36,50,29,28,50,30,23,13,18,24,9,6,8,4,1,0,2,1,0,1,2,2,0,3,1,1,1,0,2,3,2,6,2,7,5,3,7,4,5,5,4,1,4,1,0,1,8,6,1,565
"(V.1, N.5, P.7, 2018)",105,24,16,15,13,18,16,28,21,15,27,28,22,14,16,7,0,0,0,2,1,3,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,3,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,407
"(V.1, N.5, P.8, 2018)",53,9,16,8,35,28,47,38,58,21,26,31,15,28,40,56,36,31,7,11,9,27,27,20,63,73,62,42,17,12,0,13,12,20,10,14,25,23,21,37,35,32,33,52,45,40,30,15,11,30,57,29,24,31,29,26,1640
"(V.1, N.5, P.9, 2018)",56,14,16,15,14,13,14,18,29,16,11,25,14,30,14,6,0,1,6,1,0,5,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,1,0,2,1,0,0,0,337
"(V.1, N.5, P.10, 2018)",89,20,64,17,9,11,11,20,24,11,12,23,17,13,17,13,10,13,11,15,1,8,7,3,4,5,6,2,1,1,2,6,2,0,1,2,2,2,2,2,0,0,2,5,0,2,2,0,5,0,0,1,1,0,0,1,498
"(V.1, N.6, P.1, 2018)",56,12,18,21,17,20,28,48,49,25,18,40,21,28,45,24,10,23,10,15,6,2,3,7,4,6,2,10,11,20,3,10,0,1,6,10,1,4,4,28,2,8,5,4,3,3,0,0,3,3,6,3,0,1,4,0,711
